uid,title,category,description,full_url
409654505181,Система для сегментации и поиска по похожей одежде для интернет-магазина Lamoda,Зрение,"Кейс для Lamoda, где мы обучили нейросеть распознавать, какая одежда изображена на фото, а также находить похожую в каталоге интернет-магазина.",https://eora.ru/cases/lamoda-systema-segmentacii-i-poiska-po-pohozhey-odezhde
167099463511,S7 - навык для Алисы: поиск билетов на самолёт,Голосовые,"Разработка для компании S7 Airlines, где мы создали чат-бота и навык для Алисы, которые помогают находить и бронировать билеты на авиарейсы.",https://eora.ru/cases/s7-navyk-dlya-podbora-aviabiletov
627017920511,Чат-бот с компьютерным зрением для подбора обоев,Чат-бот,"Разработка для Леруа Мерлен, где мы создали чат-бот с технологией компьютерного зрения, чтобы клиент мог выбрать обои без помощи консультанта.",https://eora.ru/cases/leroy-merlin-podbor-oboev
212160429421,«Фрискис» – чат-бот для промо-сайта,Чат-бот,"Рассказали, как мы для компании Purina Friskies реализовали чат-бот в виджете промо-сайта, через который проходит вся коммуникация с клиентом.",https://eora.ru/cases/purina-friskies-chat-bot-na-sajte
281416601971,Газпромбанк — бот-аватар для стенда на Startup Village,Виртуальные,"Разработали виртуальный стенд для Газпромбанка, который рассказывал аудитории международной конференции Startup Village о современных банковских технологиях.",https://eora.ru/cases/gazprombank-virtualniy-avatar
480101256291,Бот для образовательных курсов на платформе GetCourse,Чат-бот,"Разработали бота для образовательных курсов на платформе GetCourse, который облегчил коммуникацию и обучение студентов в мессенджере Telergram.",https://eora.ru/cases/getcourse-bot-dlya-obrazovatelnykh-kursov-na-platforme-getcourse
253443011771,"Avon - чат-бот, который подбирает подарки для мужчин",Чат-бот,"Создали подборщик заказов подарков, где девушка загружает в чат-бот ВКонтакте фотографию мужчины, а бот помогает с выбором подарка в зависимости от его типажа.",https://eora.ru/cases/avon-chat-bot-dlya-zhenshchin
484660857411,Омниканальная коммуникация для страховщиков,Чат-бот,"Кейс для компании «Абсолют Страхование», где мы научили бота консультировать клиентов по продуктам в области страхования через соцсети, мессенджеры и сайт.",https://eora.ru/cases/absolut-omnikanalnaya-kommunikaciya-dlya-strahovshikov
807682458701,Бот для поиска по справочнику Schneider Electric,Чат-бот,"Кейс для Schneider Electric, где мы разработали чат-бот для поиска информации по техническому справочнику в помощь инженерам компании.",https://eora.ru/cases/schneider-electric-bot-dlya-spravochnika
870978733871,ICL – бот-суфлёр для операторов контактного центра,Контакт-центры,"Кейс, где мы разработали бота, с которым можно общаться на сайте Сетевой компании. Демо-версию этого проекта посмотрел президент Татарстана.",https://eora.ru/cases/icl-bot-sufler-dlya-kontakt-centra
396088484531,Генератор новостных заголовков на Матч ТВ,Чат-бот,"Кейс для Матч ТВ, где мы научили нейросеть генерировать новостные заголовки в режиме реального времени.",https://eora.ru/cases/matchtv-generator-novostnyh-zagolovkov-na-match-tv
917852741941,"Сила света – чат-бот, который помог отправить сигналы в космос",Чат-бот,"Разработали чат-бота, с помощью которого аудитория фестиваля Signal могла отправить свои сообщения в космос, и интегрировали его в визуальную инсталляцию.",https://eora.ru/cases/sila-sveta-chatbot-dlya-otpravki-signalov-v-kosmos
322498421621,«Додо Пицца» – автоматизация обработки жалоб в мобильном приложении,Зрение,"Кейс для Додо Пиццы, где мы разработали робота, который самостоятельно анализирует тексты отзывов и передает их операторам, если это необходимо.",https://eora.ru/cases/dodo-pizza-robot-analitik-otzyvov
353742131361,ESSA - чат-бот для генерации роликов в стиле рекламы ESSA,Чат-бот,"Для APM и AB InBev Efes мы создали сервис, в котором пользователи «ВКонтакте» и Telegram могут создавать видео, где человек и фон окрашиваются в разные цвета.",https://eora.ru/cases/essa-nejroset-dlya-generacii-rolikov
466258891251,"Purina – чат-бот, который подбирает корм для собаки",Чат-бот,"Кейс, где мы разработали чат-бота «ВКонтакте» для программы Purina «21 день», который помог владельцам собак оценить качество питания и перевести их на новый корм.",https://eora.ru/cases/purina-podbor-korma-dlya-sobaki
